Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,1.812930,1.804800,1.803250,1.803250,0.011766,38730
1996-01-02,1.800930,1.800930,1.743220,1.743220,0.011374,77460
1996-01-03,1.743220,1.750580,1.750580,1.750580,0.011422,12910
1996-01-04,1.746710,1.758320,1.742830,1.742830,0.011372,64550
1996-01-05,1.738570,1.738570,1.738570,1.738570,0.011344,12910
1996-01-08,1.727340,1.735090,1.665370,1.665370,0.010866,167830
1996-01-09,1.626640,1.649490,1.616960,1.616960,0.010550,309840
1996-01-10,1.616960,1.704100,1.611150,1.703720,0.011116,490581
1996-01-11,1.673120,1.673120,1.673120,1.673120,0.010917,38730
1996-01-12,1.665370,1.703720,1.665370,1.696360,0.011068,77460
1996-01-15,1.673120,1.673120,1.666150,1.666150,0.010871,116190
1996-01-16,1.673120,1.704100,1.642140,1.688610,0.011018,1665393
1996-01-17,1.688610,1.684740,1.549180,1.665370,0.010866,387301
1996-01-18,1.665370,1.665370,1.634390,1.653750,0.010790,129100
1996-01-19,1.634390,1.647940,1.618900,1.620060,0.010571,219470
1996-01-22,1.620060,1.626640,1.587910,1.626640,0.010614,116190
1996-01-23,1.626640,1.626640,1.556930,1.618900,0.010563,167830
1996-01-24,1.618900,1.615020,1.580940,1.597980,0.010427,296930
1996-01-25,1.597980,1.611150,1.572420,1.604180,0.010467,232380
1996-01-26,null,null,null,null,null,null
1996-01-29,1.604180,1.618900,1.573200,1.618900,0.010563,51640
1996-01-30,1.618900,1.642140,1.609220,1.638260,0.010689,1665393
1996-01-31,1.638260,1.634390,1.589850,1.628970,0.010629,77460
1996-02-01,1.628970,1.657630,1.649880,1.649880,0.010765,25820
1996-02-02,1.649880,1.740900,1.704100,1.719210,0.011218,142010
1996-02-05,1.719210,1.779630,1.764130,1.777690,0.011599,116190
1996-02-06,1.777690,1.802860,1.766460,1.766460,0.011526,154920
1996-02-07,1.742830,1.781560,1.719590,1.781560,0.011624,142010
1996-02-08,1.781560,1.859020,1.777690,1.851280,0.012079,348571
1996-02-09,1.897750,1.971340,1.874510,1.971340,0.012863,374391
1996-02-12,1.936090,1.967460,1.897750,1.934160,0.012620,271110
1996-02-13,1.934160,1.974440,1.897750,1.967460,0.012837,503491
1996-02-14,1.951970,2.052670,1.951970,2.040280,0.013312,490581
1996-02-15,2.013940,2.091400,2.013940,2.049570,0.013373,361481
1996-02-16,2.049570,2.153370,2.053440,2.131290,0.013906,1420102
1996-02-19,2.101860,2.137870,2.091400,2.130520,0.013901,890791
1996-02-20,2.130520,2.207200,2.130130,2.166920,0.014139,787511
1996-02-21,null,null,null,null,null,null
1996-02-22,2.166920,2.176600,2.137870,2.169250,0.014154,568041
1996-02-23,2.168860,2.184350,2.168860,2.168860,0.014151,3072585
1996-02-26,2.168860,2.184350,2.169250,2.170020,0.014159,361481
1996-02-27,2.170020,2.172730,2.168860,2.168860,0.014151,1213542
1996-02-28,2.168860,2.176600,2.164990,2.172730,0.014177,542221
1996-02-29,2.172730,2.176600,2.168860,2.169250,0.014154,1097352
1996-03-01,2.169250,2.176600,2.169250,2.171570,0.014169,942431
1996-03-04,2.171570,2.205650,2.168470,2.182030,0.014237,1665393
1996-03-05,null,null,null,null,null,null
1996-03-06,2.182030,2.169250,2.130520,2.130520,0.013901,180740
1996-03-07,2.130520,2.106890,2.068160,2.068160,0.013494,38730
1996-03-08,1.983340,2.068160,1.983340,2.039890,0.013310,619681
1996-03-11,2.091400,2.091400,2.031370,2.072030,0.013520,154920
1996-03-12,2.072030,2.052670,2.029430,2.037560,0.013295,129100
1996-03-13,2.037560,2.068160,2.045310,2.058090,0.013429,77460
1996-03-14,2.058090,2.091400,2.054610,2.054610,0.013406,129100
1996-03-15,2.054610,2.052670,2.029820,2.052670,0.013393,64550
1996-03-18,2.052670,2.044920,2.037180,2.037180,0.013292,180740
1996-03-19,2.037180,2.058480,2.013940,2.033690,0.013269,271110
1996-03-20,null,null,null,null,null,null
1996-03-21,2.033690,2.022070,2.013940,2.022070,0.013194,129100
1996-03-22,2.022070,2.037180,2.029430,2.029430,0.013242,142010
1996-03-25,2.029430,2.021690,2.006190,2.021690,0.013191,64550
1996-03-26,2.021690,2.044920,2.006190,2.044920,0.013343,64550
1996-03-27,2.052670,2.060420,2.052670,2.053060,0.013396,90370
1996-03-28,2.053060,2.067770,2.053060,2.067770,0.013492,90370
1996-03-29,2.067770,2.075910,2.056540,2.075910,0.013545,77460
1996-04-01,2.075910,2.075910,2.075910,2.075910,0.013545,64550
1996-04-02,2.053060,2.130130,2.053060,2.099140,0.013697,374391
1996-04-03,2.099140,2.106890,2.075910,2.101080,0.013709,77460
1996-04-04,2.091400,2.099140,2.075910,2.091400,0.013646,167830
1996-04-05,null,null,null,null,null,null
1996-04-08,2.053060,2.097210,2.053060,2.093340,0.013659,555131
1996-04-09,2.093340,2.106890,2.060420,2.091400,0.013646,413121
1996-04-10,2.091400,2.075910,2.062350,2.062350,0.013456,129100
1996-04-11,2.062350,2.052670,2.013940,2.029430,0.013242,90370
1996-04-12,1.998450,2.012000,1.982960,2.005810,0.013088,245290
1996-04-15,1.990700,2.006190,1.990700,2.002320,0.013065,51640
1996-04-16,2.002320,2.029430,1.998450,2.029430,0.013242,193650
1996-04-17,2.016260,2.052670,2.016260,2.052670,0.013393,90370
1996-04-18,2.052670,2.153370,2.052670,2.130130,0.013899,258200
1996-04-19,2.130130,2.176600,2.114640,2.156850,0.014073,529311
1996-04-22,2.156850,2.199840,2.099920,2.140590,0.013967,516401
1996-04-23,2.140590,2.118510,2.091400,2.107280,0.013750,129100
1996-04-24,2.130130,2.207590,2.122380,2.161500,0.014103,387301
1996-04-25,2.161500,2.168860,2.130130,2.156080,0.014068,245290
1996-04-26,2.156080,2.122380,2.091790,2.091790,0.013649,206560
1996-04-29,2.091790,2.122380,2.092170,2.100310,0.013704,77460
1996-04-30,2.100310,2.192100,2.114640,2.173510,0.014182,542221
1996-05-01,2.173510,2.308280,2.193260,2.249030,0.014675,916611
1996-05-02,2.249030,2.285050,2.254450,2.280010,0.014877,645501
1996-05-03,2.280010,2.323780,2.285050,2.314480,0.015102,1161902
1996-05-06,2.314480,2.269550,2.215330,2.220370,0.014488,710051
1996-05-07,2.220370,2.238570,2.146390,2.206040,0.014394,981162
1996-05-08,2.206040,2.246320,2.130130,2.207590,0.014404,361481
1996-05-09,2.207590,2.190930,2.130130,2.152980,0.014048,451851
1996-05-10,2.152980,2.103790,2.037180,2.103790,0.013727,154920
1996-05-13,2.103790,2.183960,2.126260,2.176600,0.014202,206560
1996-05-14,2.176600,2.184350,2.130520,2.143680,0.013987,271110
1996-05-15,2.143680,2.228890,2.168860,2.202550,0.014371,258200
1996-05-16,2.202550,2.246320,2.184350,2.184350,0.014253,258200
1996-05-17,2.168860,2.176600,2.137870,2.164990,0.014126,77460
1996-05-20,2.164990,2.129740,2.091400,2.091400,0.013646,90370
1996-05-21,2.091400,2.104950,2.029430,2.042600,0.013328,219470
1996-05-22,2.042600,2.122380,2.044920,2.122380,0.013848,180740
1996-05-23,2.122380,2.106890,2.091400,2.095270,0.013671,245290
1996-05-24,2.095270,2.079780,2.064290,2.064290,0.013469,77460
1996-05-27,2.064290,2.052670,2.022070,2.033300,0.013267,503491
1996-05-28,2.033300,2.029430,1.959720,2.029430,0.013242,116190
1996-05-29,2.029430,2.106890,2.013940,2.106890,0.013747,167830
1996-05-30,2.106890,2.106890,2.091400,2.091400,0.013646,64550
1996-05-31,2.091400,2.130130,2.091400,2.130130,0.013899,142010
1996-06-03,2.130130,2.168860,2.122380,2.130130,0.013899,129100
1996-06-04,2.130130,2.180480,2.146390,2.162660,0.014111,400211
1996-06-05,2.168860,2.168860,2.153750,2.161110,0.014101,180740
1996-06-06,2.176600,2.207590,2.130900,2.207590,0.014404,1445922
1996-06-07,2.114640,2.130130,2.107670,2.130130,0.013899,116190
1996-06-10,2.125870,2.129350,2.093340,2.109990,0.013767,129100
1996-06-11,2.091400,2.122380,2.014330,2.053060,0.013396,77460
1996-06-12,2.099140,2.122380,2.099140,2.114640,0.013798,258200
1996-06-13,2.091400,2.091400,2.091400,2.091400,0.013646,116190
1996-06-14,2.099140,2.106890,2.093340,2.106890,0.013747,322751
1996-06-17,2.130130,2.153370,2.106890,2.129740,0.013896,981162
1996-06-18,2.157240,2.207590,2.106890,2.161110,0.014101,619681
1996-06-19,2.168860,2.184350,2.149490,2.153370,0.014050,426031
1996-06-20,2.130130,2.137870,2.130130,2.130130,0.013899,1510472
1996-06-21,2.134000,2.137870,2.110760,2.119670,0.013830,296930
1996-06-24,2.091400,2.130130,2.052670,2.099140,-0.076334,258200
1996-06-25,2.089460,2.153370,2.079780,2.129350,-0.077433,684231
1996-06-26,2.169630,2.192100,2.120450,2.122380,-0.077179,180740
1996-06-27,2.110760,2.153370,2.099140,2.140200,-0.077827,271110
1996-06-28,2.129740,2.150270,2.114640,2.150270,-0.078193,116190
1996-07-01,2.145620,2.145620,2.106890,2.118510,-0.077038,77460
1996-07-02,2.130130,2.157240,2.118510,2.135160,-0.077644,542221
1996-07-03,2.168860,2.192100,2.122380,2.134390,-0.077616,413121
1996-07-04,2.044920,2.129740,2.044920,2.095270,-0.076193,413121
1996-07-05,2.091010,2.091010,2.068160,2.068940,-0.075236,64550
1996-07-08,2.075910,2.083650,2.075910,2.081720,-0.075701,77460
1996-07-09,2.052670,2.053440,2.052670,2.052670,-0.074644,116190
1996-07-10,2.052670,2.052670,2.013940,2.034850,-0.073996,426031
1996-07-11,2.060420,2.060420,2.026330,2.029820,-0.073813,116190
1996-07-12,2.091400,2.091400,2.054610,2.061190,-0.074954,361481
1996-07-15,2.052670,2.075910,2.052670,2.075910,-0.075489,77460
1996-07-16,2.075910,2.075910,2.029430,2.029430,-0.073799,167830
1996-07-17,2.052670,2.122380,2.052670,2.092950,-0.076109,271110
1996-07-18,2.106500,2.130130,2.075910,2.120450,-0.077109,593861
1996-07-19,2.091400,2.168860,2.091400,2.132450,-0.077545,361481
1996-07-22,2.148720,2.157240,2.148720,2.154920,-0.078362,51640
1996-07-23,2.145620,2.145620,2.120450,2.126260,-0.077320,206560
1996-07-24,2.114640,2.114640,2.080170,2.087910,-0.075926,180740
1996-07-25,2.099920,2.099920,2.091400,2.091790,-0.076067,154920
1996-07-26,2.075910,2.087530,2.038730,2.077840,-0.075560,193650
1996-07-29,2.091400,2.106500,2.076290,2.086750,-0.075884,335661
1996-07-30,2.091400,2.106890,2.037560,2.068940,-0.075236,529311
1996-07-31,2.052670,2.052670,2.025560,2.037180,-0.074081,103280
1996-08-01,2.052670,2.052670,2.027490,2.029430,-0.073799,167830
1996-08-02,2.029820,2.052670,2.029430,2.052670,-0.074644,103280
1996-08-05,2.048800,2.052670,2.048800,2.052670,-0.074644,25820
1996-08-06,2.037180,2.037180,2.021690,2.029430,-0.073799,103280
1996-08-07,2.044920,2.052670,2.029430,2.029430,-0.073799,38730
1996-08-08,2.037180,2.060420,2.029430,2.044920,-0.074362,116190
1996-08-09,2.064290,2.122380,2.064290,2.092560,-0.076095,90370
1996-08-12,2.060420,2.060420,2.060420,2.060420,-0.074926,12910
1996-08-13,2.044920,2.052670,2.029430,2.029430,-0.073799,180740
1996-08-14,2.052670,2.091400,2.052670,2.075520,-0.075475,167830
1996-08-15,null,null,null,null,null,null
1996-08-16,2.052670,2.052670,2.044920,2.044920,-0.074362,25820
1996-08-19,2.013940,2.044920,2.013940,2.028270,-0.073757,296930
1996-08-20,2.013940,2.021690,2.013940,2.013940,-0.073236,90370
1996-08-21,2.013940,2.013940,2.013940,2.013940,-0.073236,103280
1996-08-22,2.030210,2.030210,2.021690,2.021690,-0.073518,51640
1996-08-23,2.014330,2.021690,2.013940,2.013940,-0.073236,232380
1996-08-26,2.029430,2.029430,2.014330,2.014330,-0.073250,51640
1996-08-27,2.013940,2.017810,2.013940,2.013940,-0.073236,116190
1996-08-28,2.013940,2.014710,2.013940,2.014330,-0.073250,38730
1996-08-29,2.017810,2.044920,2.017810,2.021690,-0.073518,51640
1996-08-30,2.025560,2.025560,2.015880,2.017040,-0.073349,38730
1996-09-02,2.017810,2.029430,2.013940,2.029430,-0.073799,180740
1996-09-03,2.015880,2.050730,2.013940,2.028270,-0.073757,284020
1996-09-04,2.014710,2.014710,2.013940,2.014330,-0.073250,77460
1996-09-05,2.015880,2.015880,2.015880,2.015880,-0.073306,12910
1996-09-06,2.052670,2.052670,2.017810,2.025560,-0.073658,38730
1996-09-09,2.013940,2.017810,2.013940,2.017810,-0.073377,154920
1996-09-10,2.013940,2.021690,2.013940,2.013940,-0.073236,180740
1996-09-11,2.006190,2.013940,2.006190,2.013940,-0.073236,142010
1996-09-12,2.013940,2.021690,1.982960,1.996510,-0.072602,271110
1996-09-13,2.006190,2.006190,1.990700,1.998450,-0.072673,348571
1996-09-16,1.998450,1.998450,1.959720,1.965140,-0.071461,361481
1996-09-17,1.975210,1.975210,1.936480,1.951970,-0.070982,413121
1996-09-18,1.975210,1.975210,1.936480,1.936480,-0.070419,206560
1996-09-19,1.975210,1.975210,1.936480,1.936480,-0.070419,103280
1996-09-20,1.936480,1.936480,1.936480,1.936480,-0.070419,64550
1996-09-23,1.936480,1.944230,1.920990,1.935320,-0.070377,1174812
1996-09-24,1.936480,1.936480,1.897750,1.897750,-0.069011,1575022
1996-09-25,1.897750,1.897750,1.766070,1.771490,-0.064419,1136082
1996-09-26,1.773820,1.781170,1.665370,1.669630,-0.060715,1807403
1996-09-27,1.657630,1.665370,1.556930,1.636330,-0.059504,1071532
1996-09-30,1.596050,1.696360,1.564680,1.656470,-0.060237,516401
1996-10-01,1.665370,1.704100,1.635940,1.676220,-0.060955,477671
1996-10-02,null,null,null,null,null,null
1996-10-03,1.665370,1.665370,1.626640,1.647940,-0.059926,4621787
1996-10-04,1.688610,1.688610,1.626640,1.639810,-0.059631,1148992
1996-10-07,1.627420,1.627420,1.595660,1.595660,-0.058025,400211
1996-10-08,1.587910,1.634390,1.587910,1.624710,-0.059082,658411
1996-10-09,1.603410,1.618900,1.603410,1.616570,-0.058786,103280
1996-10-10,1.626640,1.651820,1.618900,1.642910,-0.059744,103280
1996-10-11,1.704100,1.704100,1.628580,1.685510,-0.061293,154920
1996-10-14,1.638260,1.644070,1.638260,1.641360,-0.059687,25820
1996-10-15,1.628580,1.657630,1.628580,1.654140,-0.060152,167830
1996-10-16,1.680860,1.680860,1.642520,1.663440,-0.060490,1381372
1996-10-17,1.642140,1.657630,1.642140,1.651820,-0.060068,51640
1996-10-18,1.649880,1.649880,1.649880,1.649880,-0.059997,12910
1996-10-21,null,null,null,null,null,null
1996-10-22,1.626640,1.703720,1.619280,1.671570,-0.060786,116190
1996-10-23,1.727340,1.781560,1.723470,1.739350,-0.063250,1458832
1996-10-24,1.781170,1.781560,1.680860,1.699070,-0.061786,826241
1996-10-25,1.726950,1.738570,1.669630,1.716110,-0.062405,2078513
1996-10-28,1.742830,1.742830,1.704100,1.705260,-0.062011,206560
1996-10-29,1.665370,1.688610,1.603790,1.635940,-0.059490,580951
1996-10-30,null,null,null,null,null,null
1996-10-31,1.626260,1.634390,1.626260,1.634390,-0.059434,38730
1996-11-01,1.649880,1.657630,1.642140,1.647940,-0.059926,103280
1996-11-04,1.662270,1.662270,1.627030,1.627030,-0.059166,51640
1996-11-05,1.649880,1.649880,1.549180,1.555770,-0.056575,361481
1996-11-06,1.549180,1.595660,1.549180,1.572420,-0.057180,129100
1996-11-07,1.549180,1.572420,1.549180,1.556930,-0.056617,142010
1996-11-08,1.572420,1.572420,1.564680,1.564680,-0.056899,25820
1996-11-11,1.585980,1.642140,1.564680,1.588300,-0.057758,13116580
1996-11-12,null,null,null,null,null,null
