Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,56.400002,56.500000,55.750000,55.750000,42.615540,2800
1996-01-02,55.750000,55.750000,55.262501,55.275002,42.252445,8400
1996-01-03,55.275002,55.625000,55.250000,55.299999,42.271568,11200
1996-01-04,55.299999,53.750000,53.037498,53.312500,40.752300,3600
1996-01-05,53.312500,53.987499,52.000000,52.049999,39.787243,12000
1996-01-08,52.049999,53.500000,51.250000,51.375000,39.271271,12400
1996-01-09,51.375000,51.500000,49.250000,49.950001,38.181984,18000
1996-01-10,49.950001,51.012501,50.012501,50.737499,38.783966,6800
1996-01-11,50.737499,52.000000,51.250000,51.875000,39.653473,5600
1996-01-12,51.875000,52.250000,52.000000,52.000000,39.749023,4800
1996-01-15,52.000000,52.187500,52.000000,52.000000,39.749023,2000
1996-01-16,52.000000,51.625000,51.125000,51.312500,39.223492,10800
1996-01-17,51.487499,51.500000,50.950001,51.500000,39.366814,12800
1996-01-18,50.750000,51.500000,50.750000,51.137501,39.089722,10400
1996-01-19,51.137501,51.500000,51.000000,51.262501,39.185276,10400
1996-01-22,51.262501,51.375000,50.775002,51.087502,39.051510,13600
1996-01-23,51.087502,52.424999,51.250000,51.924999,39.691700,13600
1996-01-24,51.924999,52.437500,51.512501,52.337502,40.007019,20800
1996-01-25,52.337502,53.000000,51.500000,53.000000,40.513420,17600
1996-01-26,null,null,null,null,null,null
1996-01-29,53.000000,53.250000,52.000000,53.062500,40.561192,20400
1996-01-30,53.062500,53.250000,52.750000,53.150002,40.628094,14000
1996-01-31,53.150002,53.862499,53.262501,53.775002,41.105843,9200
1996-02-01,53.775002,54.312500,53.562500,53.562500,40.943409,4400
1996-02-02,53.562500,56.987499,54.250000,56.000000,42.806648,10400
1996-02-05,56.000000,57.500000,56.250000,57.500000,43.953255,10000
1996-02-06,57.500000,57.500000,56.775002,56.875000,43.475491,12400
1996-02-07,56.875000,58.000000,56.137501,57.537498,43.981907,28400
1996-02-08,57.750000,59.500000,57.750000,59.500000,45.482056,11200
1996-02-09,61.000000,62.500000,59.750000,61.724998,47.182846,24000
1996-02-12,61.724998,65.000000,61.737499,64.824997,49.552509,26000
1996-02-13,64.824997,66.750000,61.775002,66.324997,50.699127,25200
1996-02-14,68.000000,68.000000,65.012497,66.112503,50.536686,22000
1996-02-15,66.112503,67.500000,65.262497,66.787498,51.052662,17200
1996-02-16,66.787498,67.500000,65.562500,67.125000,51.310631,40800
1996-02-19,67.125000,69.437500,66.375000,66.375000,50.737339,27200
1996-02-20,66.375000,67.500000,66.250000,67.175003,51.348858,28800
1996-02-21,null,null,null,null,null,null
1996-02-22,67.175003,66.750000,65.324997,66.550003,50.871113,15600
